% Model:              GeometryStress_SFC.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 13 2024, 09:47
% Table:              Cone - Cone
% P0_Juice               Time (s)                 Variable dépendante P (1)
0.5                      0                        2.096856493271074E-6
0.5                      1                        0.06703475504587446
0.5                      2                        0.13919814904363523
0.5                      3                        0.20766129492050267
0.5                      4                        0.2694247788288016
0.5                      5                        0.32340011592541146
0.5                      6                        0.3699021065071283
0.5                      7                        0.40909639822646643
0.5                      8                        0.4415948921573588
0.5                      9                        0.46854867094007707
0.5                      10                       0.4908090748882148
0.5                      11                       0.5091378947666847
0.5                      12                       0.5242251095207768
0.5                      13                       0.536607718733896
0.5                      14                       0.5467843040505243
0.5                      15                       0.5551510047397431
0.5                      16                       0.5620001463586922
0.5                      17                       0.567578607866449
0.5                      18                       0.572125089539145
0.5                      19                       0.5757998389508586
0.5                      20                       0.5787729928390637
200                      0                        5.7306968719163706E-5
200                      1                        11.085181368903356
200                      2                        28.259426171144735
200                      3                        46.466231602998675
200                      4                        63.94183910707539
200                      5                        79.73210837057484
200                      6                        93.57137413264542
200                      7                        105.48046465228333
200                      8                        115.60338325926949
200                      9                        124.12843023719677
200                      10                       131.24495092365564
200                      11                       137.14535673048834
200                      12                       142.02401869801542
200                      13                       146.06979346111325
200                      14                       149.39424686813723
200                      15                       152.12657041483138
200                      16                       154.33882761043347
200                      17                       156.14343724584808
200                      18                       157.59171859017195
200                      19                       158.77246623123074
200                      20                       159.71544176573047
