% Model:              GeometryStress_SFC.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 13 2024, 09:46
% Table:              Cristal Without Juice - Moyenne sur volume 1
% P0_Juice               Time (s)                 Variable dépendante P (1)
0.5                      0                        1.999997000004001E-6
0.5                      1                        0.04875745074205642
0.5                      2                        0.09515527019621
0.5                      3                        0.13929042260430505
0.5                      4                        0.18126834075407453
0.5                      5                        0.22119504401337625
0.5                      6                        0.25917390358064185
0.5                      7                        0.2952992600337957
0.5                      8                        0.3296639227477189
0.5                      9                        0.3623523590724913
0.5                      10                       0.3934460134244928
0.5                      11                       0.42302357281911257
0.5                      12                       0.4511592589371924
0.5                      13                       0.4779228709243903
0.5                      14                       0.5033824756555821
0.5                      15                       0.5276021646568335
0.5                      16                       0.5506411934011998
0.5                      17                       0.572556632910408
0.5                      18                       0.593403797380705
0.5                      19                       0.6132341465354793
0.5                      20                       0.6320973869259827
200                      0                        1.999997000004001E-6
200                      1                        0.04877057057211718
200                      2                        0.09516253599431168
200                      3                        0.1392917655341912
200                      4                        0.181268010096531
200                      5                        0.22119678632238124
200                      6                        0.2591779812136838
200                      7                        0.29530677344560474
200                      8                        0.32967359654948236
200                      9                        0.36236445983996113
200                      10                       0.3934614246792637
200                      11                       0.4230427122942604
200                      12                       0.45118194246282173
200                      13                       0.47794899604792374
200                      14                       0.5034108988552851
200                      15                       0.5276297396188669
200                      16                       0.550664077331682
200                      17                       0.5725755706534699
200                      18                       0.5934150821304777
200                      19                       0.6132406082837499
200                      20                       0.6320963318833713
