% Model:              GeometryStress_SFC.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 13 2024, 09:47
% Table:              Cube - Cube
% P0_Juice               Time (s)                 Variable dépendante P (1)
0.5                      0                        2.5611184927399782E-6
0.5                      1                        0.1001376299131197
0.5                      2                        0.2004776761900198
0.5                      3                        0.2827732987240269
0.5                      4                        0.34607482854944155
0.5                      5                        0.3929453541110349
0.5                      6                        0.42745540633269097
0.5                      7                        0.4521884029865939
0.5                      8                        0.4699391571135484
0.5                      9                        0.4828507072089174
0.5                      10                       0.4922941985680953
0.5                      11                       0.4993817573398903
0.5                      12                       0.5047306174287127
0.5                      13                       0.5087104582244316
0.5                      14                       0.5117161048206682
0.5                      15                       0.5139817883810234
0.5                      16                       0.515676717339019
0.5                      17                       0.5169056280158195
0.5                      18                       0.5177980149298278
0.5                      19                       0.5184087415870887
0.5                      20                       0.5188382267180318
200                      0                        3.2240153435509516E-4
200                      1                        31.25437023547878
200                      2                        68.03890743148098
200                      3                        99.21671493540259
200                      4                        123.72086169669603
200                      5                        142.02398260179675
200                      6                        155.45114805438848
200                      7                        165.29513262761526
200                      8                        172.52853051145283
200                      9                        177.84332772645095
200                      10                       181.77722812824223
200                      11                       184.71378174779176
200                      12                       186.88608579014442
200                      13                       188.40161027277458
200                      14                       189.5190930824532
200                      15                       190.27119567033787
200                      16                       190.77882672190577
200                      17                       191.13161784595732
200                      18                       191.3565109325112
200                      19                       191.5319458024157
200                      20                       191.645181189204
