% Model:              GeometryStress_SFC.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 13 2024, 09:47
% Table:              Dunut - Dunut
% P0_Juice               Time (s)                 Variable dépendante P (1)
0.5                      0                        2.1232930961706683E-6
0.5                      1                        0.10551073651000153
0.5                      2                        0.20820488794668723
0.5                      3                        0.2894773092623374
0.5                      4                        0.3505718367883131
0.5                      5                        0.3952306239881215
0.5                      6                        0.4277996492164033
0.5                      7                        0.451169458309256
0.5                      8                        0.4681763835288619
0.5                      9                        0.480643454552409
0.5                      10                       0.4898216624432726
0.5                      11                       0.4967425669192324
0.5                      12                       0.501969207871718
0.5                      13                       0.5058640604690101
0.5                      14                       0.5088057700287331
0.5                      15                       0.5110283583945705
0.5                      16                       0.5126965049612507
0.5                      17                       0.5139172344846277
0.5                      18                       0.5148138802218168
0.5                      19                       0.5154400382969925
0.5                      20                       0.5158879924458437
200                      0                        7.2402323377734E-5
200                      1                        34.54606014289416
200                      2                        73.03206039554533
200                      3                        104.14682024454044
200                      4                        127.90064236238717
200                      5                        145.3925157050323
200                      6                        158.15359654552913
200                      7                        167.50350979535187
200                      8                        174.37882688651592
200                      9                        179.43492170574723
200                      10                       183.18545474941203
200                      11                       186.00004177185363
200                      12                       188.0885658586472
200                      13                       189.54764125414
200                      14                       190.63014179010437
200                      15                       191.3645272133453
200                      16                       191.8652024343444
200                      17                       192.21720016457357
200                      18                       192.4463816636764
200                      19                       192.6271034863106
200                      20                       192.7470569638741
