% Model:              GeometryStress_SFC.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 13 2024, 09:46
% Table:              Ellipsoide - Ellipsoide
% P0_Juice               Time (s)                 Variable dépendante P (1)
0.5                      0                        2.0612197986147412E-6
0.5                      1                        0.06450638065392984
0.5                      2                        0.13334613292165434
0.5                      3                        0.19895691375947755
0.5                      4                        0.25876290397764984
0.5                      5                        0.31177428585517464
0.5                      6                        0.3581689105853123
0.5                      7                        0.39802073245612674
0.5                      8                        0.4317842350263815
0.5                      9                        0.4603888850922677
0.5                      10                       0.48453481738169885
0.5                      11                       0.5048580844158438
0.5                      12                       0.5219527953367908
0.5                      13                       0.5362984257728337
0.5                      14                       0.5483427791132711
0.5                      15                       0.5584548401220587
0.5                      16                       0.5669177806884916
0.5                      17                       0.5739782597154168
0.5                      18                       0.5798703546029919
0.5                      19                       0.5847641171652097
0.5                      20                       0.5888297747559152
200                      0                        3.695834206381018E-5
200                      1                        9.55587441521365
200                      2                        24.50215698366825
200                      3                        40.525708317684895
200                      4                        56.119590776333716
200                      5                        70.44449533218275
200                      6                        83.22969540391674
200                      7                        94.44479625241708
200                      8                        104.16861555645436
200                      9                        112.52589749683055
200                      10                       119.65057917185453
200                      11                       125.68705406202825
200                      12                       130.7882278310539
200                      13                       135.10969146648173
200                      14                       138.74140526626593
200                      15                       141.79732883390716
200                      16                       144.3391237087791
200                      17                       146.4641263114572
200                      18                       148.2209441408241
200                      19                       149.687442823142
200                      20                       150.89573235745198
