% Model:              GeometryStress_SFC.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 13 2024, 09:47
% Table:              Juice With Everything Inside - Juice_WithEverythinInside
% P0_Juice               Time (s)                 Variable dépendante P (1)
0.5                      0                        6.663521875841229E-6
0.5                      1                        0.1409209371761162
0.5                      2                        0.2422711190208969
0.5                      3                        0.3148283616295035
0.5                      4                        0.36648770004957115
0.5                      5                        0.4032584935361942
0.5                      6                        0.4292510869493984
0.5                      7                        0.44789765879673
0.5                      8                        0.4618263774346632
0.5                      9                        0.4720733334760529
0.5                      10                       0.47961496508011126
0.5                      11                       0.48528653125541515
0.5                      12                       0.48954887656890994
0.5                      13                       0.4927259515005528
0.5                      14                       0.4951286462399288
0.5                      15                       0.4969544699261973
0.5                      16                       0.4983347845149443
0.5                      17                       0.49935591319938794
0.5                      18                       0.500118885066616
0.5                      19                       0.5006634195591689
0.5                      20                       0.5010625063228504
200                      0                        0.0026648823846162663
200                      1                        56.28080165202714
200                      2                        96.4052849841721
200                      3                        125.08749619125564
200                      4                        145.530555446068
200                      5                        160.20070993145018
200                      6                        170.77031896241348
200                      7                        178.42189765695875
200                      8                        183.97893802097673
200                      9                        188.02495750103387
200                      10                       191.00905191420628
200                      11                       193.24643158521945
200                      12                       194.91547362829024
200                      13                       196.0860774137631
200                      14                       196.95866870164633
200                      15                       197.53858752157106
200                      16                       197.93811889015706
200                      17                       198.21757620496084
200                      18                       198.402935141573
200                      19                       198.55361619629036
200                      20                       198.65701509546872
