% Model:              GeometryStress_SFC.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 13 2024, 09:46
% Table:              Juice Without Cristal - Juice_WithoutCristal
% P0_Juice               Time (s)                 Variable dépendante P (1)
0.5                      0                        6.66660000059259E-6
0.5                      1                        0.14159778978288265
0.5                      2                        0.2436653865749532
0.5                      3                        0.31668608083072164
0.5                      4                        0.36853697492887627
0.5                      5                        0.4052707373084251
0.5                      6                        0.4310702867354168
0.5                      7                        0.44941501940556305
0.5                      8                        0.46298413676762096
0.5                      9                        0.47285390078540823
0.5                      10                       0.4800245872299292
0.5                      11                       0.4853492924777794
0.5                      12                       0.48929615819368083
0.5                      13                       0.49219009160643756
0.5                      14                       0.4943433799268495
0.5                      15                       0.4959514263719757
0.5                      16                       0.4971428099903096
0.5                      17                       0.4979999251286584
0.5                      18                       0.4986215734152307
0.5                      19                       0.49904397817743007
0.5                      20                       0.4993388359161552
200                      0                        0.002666640000237035
200                      1                        56.69200151859559
200                      2                        97.3052857857355
200                      3                        126.37406950747327
200                      4                        147.08272628000594
200                      5                        161.90620352717562
200                      6                        172.54232417117802
200                      7                        180.19987792386897
200                      8                        185.72348165648054
200                      9                        189.71222068514737
200                      10                       192.6268829986375
200                      11                       194.79060588411886
200                      12                       196.38633742931628
200                      13                       197.48530869572843
200                      14                       198.29184936350745
200                      15                       198.81020931388304
200                      16                       199.15415891547707
200                      17                       199.38435902154075
200                      18                       199.52643528439592
200                      19                       199.64015785354277
200                      20                       199.71184931932322
